customer_id,name,age,gender,state,signup_date,email,phone_number,subscribe
CUST0001,Gandi,26.0,Male,Sulawesi Utara,2025-05-05,gandi_96@example.com,8422757160,No
CUST0002,Cecep,49.0,Male,Aceh,2025-06-02,cecep467@example.com,88171122035,No
CUST0003,Artawan,26.0,Male,Jambi,2025-02-11,wahyuninovi@example.net,8692932468,Yes
CUST0004,Mulya,61.0,Male,Nusa Tenggara Timur,2025-02-19,nnapitupulu@example.com,8515735210,Yes
CUST0005,Taufik,43.0,Male,Kepulauan Riau,2025-08-04,taufik_87@example.com,81034538051,Yes
CUST0006,Genta,20.0,Female,Kalimantan Timur,2025-06-04,puyainah@example.com,818757946920,Yes
CUST0007,Dimas,18.0,Male,Sumatera Barat,2024-11-14,224dimas@example.com,8189638436,No
CUST0008,Nilam,26.0,Female,Jawa Timur,2025-05-22,tariandriani@example.org,8649564474,Yes
CUST0009,Emas,29.0,Male,Nusa Tenggara Timur,2023-11-30,emas288@example.com,8712019987,Yes
CUST0010,Kani,64.0,Female,Kalimantan Utara,2025-03-05,asmiantosimbolon@example.org,8691418746,Yes
CUST0011,Putri,62.0,Female,Kepulauan Riau,2025-01-15,jailanidarsirah@example.org,811765466,Yes
CUST0012,Raditya,45.0,Male,Jawa Timur,2024-03-14,raditya_90@example.com,82220924900,Yes
CUST0013,Olivia,21.0,Female,DKI Jakarta,2025-04-29,olivia35@example.com,88842000527,Yes
CUST0014,Asmianto,35.0,Male,Sulawesi Tengah,2024-08-24,raharja94@example.net,830056278,Yes
CUST0015,Karya,45.0,Male,Kalimantan Tengah,2024-05-16,prasastafebi@example.net,883184813718,Yes
CUST0016,Enteng,18.0,Male,Kalimantan Tengah,2025-05-26,enteng782@example.com,819222439412,Yes
CUST0017,Belinda,27.0,Female,Sulawesi Utara,2024-12-15,belinda_94@example.com,87789167795,Yes
CUST0018,Kania,54.0,Female,Jawa Tengah,2023-12-20,rusman50@example.org,82570741299,Yes
CUST0019,Wirda,50.0,Female,Kalimantan Timur,2024-12-15,wirda_21@example.com,8167366035,Yes
CUST0020,Ajimin,42.0,Male,Bengkulu,2024-10-09,ajimin354@example.com,857252618973,Yes
CUST0514,Adinata,60.0,Male,Aceh,2023-12-11,bgunawan@example.net,8287301073,Yes
CUST0021,Irfan,59.0,Male,Jawa Timur,2025-09-23,irfan560@example.com,89030985121,Yes
CUST0022,Laras,25.0,Female,Gorontalo,2025-07-04,laras202@example.com,876149291,No
