customer_id,name,age,state,signup_date,email,phone_number,subscribe,customer_tenture_days,gender_Male,transaction_count,total_spent,avg_transaction_value,total_quantity,avg_discount,unique_products,last_transaction_date
CUST0001,Gandi,26,Sulawesi Utara,2025-05-05,gandi_96@example.com,8422757160,0,141,True,1,144000,144000.0,1,0.0,1,2025-06-07
CUST0002,Cecep,49,Aceh,2025-06-02,cecep467@example.com,88171122035,0,113,True,7,24371000,3481571.43,71,25.71,7,2025-08-10
CUST0003,Artawan,26,Jambi,2025-02-11,wahyuninovi@example.net,8692932468,1,224,True,9,73517000,8168555.56,242,23.89,9,2025-08-21
CUST0004,Mulya,61,Nusa Tenggara Timur,2025-02-19,nnapitupulu@example.com,8515735210,1,216,True,10,76439000,7643900.0,243,22.1,10,2025-09-02
CUST0005,Taufik,43,Kepulauan Riau,2025-08-04,taufik_87@example.com,81034538051,1,50,True,13,112482000,8652461.54,340,21.31,13,2025-09-23
CUST0006,Genta,20,Kalimantan Timur,2025-06-04,puyainah@example.com,818757946920,1,111,False,10,83302000,8330200.0,258,23.2,10,2025-08-24
CUST0007,Dimas,18,Sumatera Barat,2024-11-14,224dimas@example.com,8189638436,0,313,True,7,20200000,2885714.29,96,29.57,7,2025-04-06
CUST0008,Nilam,26,Jawa Timur,2025-05-22,tariandriani@example.org,8649564474,1,124,False,5,36092000,7218400.0,117,10.6,5,2025-07-20
CUST0009,Emas,29,Nusa Tenggara Timur,2023-11-30,emas288@example.com,8712019987,1,663,True,3,11224000,3741333.33,44,32.0,3,2025-01-25
CUST0010,Kani,64,Kalimantan Utara,2025-03-05,asmiantosimbolon@example.org,8691418746,1,202,False,8,57993000,7249125.0,213,19.12,8,2025-07-26
CUST0011,Putri,62,Kepulauan Riau,2025-01-15,jailanidarsirah@example.org,811765466,1,251,False,9,64782000,7198000.0,209,19.78,9,2025-08-31
CUST0012,Raditya,45,Jawa Timur,2024-03-14,raditya_90@example.com,82220924900,1,558,True,13,115506000,8885076.92,340,19.46,13,2025-09-12
CUST0013,Olivia,21,DKI Jakarta,2025-04-29,olivia35@example.com,88842000527,1,147,False,12,62845000,5237083.33,218,19.5,12,2025-09-16
CUST0014,Asmianto,35,Sulawesi Tengah,2024-08-24,raharja94@example.net,830056278,1,395,True,9,50320000,5591111.11,208,29.67,9,2025-05-02
CUST0015,Karya,45,Kalimantan Tengah,2024-05-16,prasastafebi@example.net,883184813718,1,495,True,10,67850000,6785000.0,243,25.9,10,2025-08-22
CUST0016,Enteng,18,Kalimantan Tengah,2025-05-26,enteng782@example.com,819222439412,1,120,True,12,89583000,7465250.0,329,24.92,12,2025-09-23
CUST0017,Belinda,27,Sulawesi Utara,2024-12-15,belinda_94@example.com,87789167795,1,282,False,12,126496000,10541333.33,301,22.08,12,2025-09-09
CUST0018,Kania,54,Jawa Tengah,2023-12-20,rusman50@example.org,82570741299,1,643,False,3,16998000,5666000.0,86,34.33,3,2025-02-24
CUST0019,Wirda,50,Kalimantan Timur,2024-12-15,wirda_21@example.com,8167366035,1,282,False,2,25130000,12565000.0,59,32.5,2,2025-01-17
CUST0020,Ajimin,42,Bengkulu,2024-10-09,ajimin354@example.com,857252618973,1,349,True,10,127309000,12730900.0,284,17.5,10,2025-07-20
CUST0514,Adinata,60,Aceh,2023-12-11,bgunawan@example.net,8287301073,1,652,True,15,102640000,6842666.67,388,24.47,15,2025-03-13
CUST0021,Irfan,59,Jawa Timur,2025-09-23,irfan560@example.com,89030985121,1,0,True,9,74176000,8241777.78,243,15.67,9,2025-09-24
CUST0022,Laras,25,Gorontalo,2025-07-04,laras202@example.com,876149291,0,81,False,5,7172000,1434400.0,59,21.2,5,2025-09-22
CUST0023,Drajat,63,Bengkulu,2023-11-08,586drajat@example.com,869239705010,1,685,True,14,91080000,6505714.29,369,28.14,14,2025-03-12
CUST0024,Halima,49,Sumatera Selatan,2024-05-28,vfirmansyah@example.com,8428991937,1,483,False,7,44203000,6314714.29,185,18.57,7,2024-12-15
CUST0025,Gina,25,Sulawesi Tenggara,2024-12-29,kayla05@example.com,875066923,1,268,False,3,18567000,6189000.0,59,33.0,3,2025-03-03
CUST0026,Teddy,23,Bengkulu,2024-12-07,hsihotang@example.net,801317419,1,290,True,1,11440000,11440000.0,40,13.0,1,2025-01-17
